Day,Date,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6,S1,S2
SAT,16/06/2018,26,8,22,45,2,12,1,38
WED,13/06/2018,39,32,31,13,27,28,10,4
MON,11/06/2018,3,4,22,23,33,44,24,38
SAT,9/06/2018,7,10,22,25,26,36,30,43
WED,6/06/2018,8,19,21,35,36,37,2,15
MON,4/06/2018,3,4,17,31,37,40,6,22
SAT,2/06/2018,7,14,17,19,24,37,2,23
WED,30/05/2018,12,14,20,22,36,41,5,43
MON,28/05/2018,10,19,28,32,40,44,7,13
SAT,26/05/2018,10,21,25,29,38,40,7,22
WED,23/05/2018,9,13,23,28,29,39,26,40
MON,21/05/2018,8,10,11,21,34,39,15,23
SAT,19/05/2018,6,9,21,33,39,42,19,40
WED,16/05/2018,6,11,16,25,32,41,17,21
MON,14/05/2018,12,17,20,25,28,45,29,39
SAT,12/05/2018,6,12,14,17,31,38,32,34
WED,9/05/2018,2,3,16,18,33,42,14,26
MON,7/05/2018,8,14,17,33,38,39,5,44
SAT,5/05/2018,10,22,28,34,42,45,3,11
WED,2/05/2018,4,14,15,16,29,30,20,35
MON,30/04/2018,5,8,17,21,23,24,9,44
SAT,28/04/2018,13,29,33,35,38,43,15,41
WED,25/04/2018,4,7,23,28,36,41,24,29
MON,23/04/2018,4,7,13,14,25,31,6,19
SAT,21/04/2018,11,12,17,31,42,44,3,19
WED,18/04/2018,3,4,11,36,41,45,7,43
MON,16/04/2018,10,11,15,35,37,40,19,20
SAT,14/04/2018,7,9,10,17,18,38,20,35
WED,11/04/2018,5,24,27,33,37,41,1,39
MON,9/04/2018,2,11,13,26,28,41,14,33
SAT,7/04/2018,6,7,8,17,23,35,29,30
WED,4/04/2018,12,19,23,29,37,38,27,34
MON,2/04/2018,1,4,17,24,40,42,38,44
SAT,31/03/2018,8,15,23,27,43,44,11,35
WED,28/03/2018,4,18,24,29,31,34,3,16
MON,26/03/2018,13,24,30,36,40,41,3,39
SAT,24/03/2018,10,19,23,30,33,39,17,34
WED,21/03/2018,5,23,32,34,41,44,37,39
MON,19/03/2018,19,20,26,34,39,42,29,43
SAT,17/03/2018,26,32,33,35,38,41,27,45
WED,14/03/2018,4,9,17,31,34,36,5,15
MON,12/03/2018,13,14,27,34,36,45,32,41
